id	category	feature	behavior	macos_evidence	windows_acceptance	status	windows_files	tests	evidence	adr
UI-001	UI	Seven-surface navigation	Persistent Forge Rig, LM Studio MCP, Agents, Tools, Feed, Diagnostics, Manager navigation	Sources/ForgeConductorApp/Views/AppSidebarView.swift	WinUI NavigationView with stable automation IDs	not_started				
UI-002	UI	Navigation show/hide	Toolbar/menu command shows or hides navigation	Sources/ForgeConductorApp/Views/ContentView.swift	State persists per window and UI automation passes	not_started				
UI-003	UI	Refresh controls	Manual refresh, auto-refresh, loading, updated timestamp	Sources/ForgeConductorApp/Views/ContentView.swift	No overlapping refresh; bounded cadence	not_started				
UI-004	UI	Version/home/error status	Display version, home, and bounded user-visible errors	Sources/ForgeConductorApp/AppModel.swift	Accessible and nonblocking	not_started				
UI-005	UI	Forge Rig	CPU/GPU/RAM/disk/LM Studio metrics and histories	Sources/ForgeConductorApp/Views/Rig/RigDashboardView.swift	Mapped fields verified against typed snapshots	not_started				
UI-006	UI	LM Studio MCP surface	Primary/fallback, deployment, repair, health, revision status	Sources/ForgeConductorApp/Views/MCPServersView.swift	Transactional deployment and smoke	not_started				
UI-007	UI	Agents surface	Catalog and run visibility	Sources/ForgeConductorApp/Views/AgentsView.swift	List/get/recommend/run flows	not_started				
UI-008	UI	Tools surface	Tool catalog and authorization visibility	Sources/ForgeConductorApp/Views/ToolsView.swift	All 53 tools represented	not_started				
UI-009	UI	Feed surface	Bounded live activity/audit feed	Sources/ForgeConductorApp/Views/LiveFeedView.swift	Ring-buffered and accessible	not_started				
UI-010	UI	Diagnostics surface	Logs, doctor, exports, runtime diagnostics	Sources/ForgeConductorApp/Views/DiagnosticsView.swift	Redacted and bounded	not_started				
UI-011	UI	Manager settings surface	Manager lifecycle, settings, startup, reset actions	Sources/ForgeConductorApp/Views/ManagerSettingsView.swift	Start/stop/restart/settings/reset pass	not_started				
UI-012	UI	Desktop accessibility	Stable semantics and automation identifiers	Tests/ForgeConductorUITests	Native UI Automation suite passes	not_started				
UI-013	UI	Theme/DPI/high contrast	Native adaptive rendering	Sources/ForgeConductorApp	100–300% DPI and high contrast pass	not_started				
PROC-001	Process	GUI mode	No args launches GUI	Sources/ForgeConductorCore/Application/ForgeProcessEntry.swift	Packaged app launches correctly	not_started				
PROC-002	Process	MCP stdio mode	serve/mcp/mcp-serve starts stdio server	Sources/ForgeConductorCore/Application/ForgeProcessEntry.swift	Protocol smoke under 1 second	not_started				
PROC-003	Process	Manager run mode	manager run owns dashboard lifecycle	Sources/ForgeConductorCore/Application/ForgeProcessEntry.swift	Single-owner manager	passed	src/Hosts/Manager/main.cpp; src/Hosts/Manager/ManagerCompositionRoot.cpp; src/Hosts/Manager/ManagerProcessHost.cpp; src/Hosts/Manager/WindowsManagerRuntime.cpp	tests/Manager/WindowsManagerCompositionLifecycleTests.cpp; tests/Manager/ManagerProcessHostTests.cpp; tests/Manager/WindowsManagerRuntimeTests.cpp	.forge-codex/state/commands/20260830T203522380Z-255a4469.json; .forge-codex/state/evidence/P16/g16-validation-summary.json; .forge-codex/state/evidence/P16/g16-attempt.json; .forge-codex/state/evidence/P16/g16-LastTest.log; .forge-codex/state/evidence/P16/g16-attempt-history/6d7a192e9a2042759c6e857a4d0e440e/attempt.json; .forge-codex/state/evidence/P16/g16-attempt-history/6d7a192e9a2042759c6e857a4d0e440e/rollover.json; .forge-codex/state/evidence/P16/manager-host-lifecycle-checkpoint.json; .forge-codex/state/evidence/P16/manager-production-ownership-prerequisites-checkpoint.json	.forge-codex/state/decisions/P16-003-manager-host-lifecycle-and-composition-boundary.md; .forge-codex/state/decisions/P16-021-production-manager-runtime-and-delivery-safe-shutdown.md; .forge-codex/state/decisions/P16-037-production-manager-composition-boundaries.md; .forge-codex/state/decisions/P16-038-hash-bound-g16-qualification-and-independent-finalization.md; .forge-codex/state/decisions/P16-039-windows-powershell-evidence-runner-compatibility.md
CLI-001	CLI	Install command	Install runtime layout without implicit host config	Sources/ForgeConductorCLI/ForgeConductorMain.swift	Idempotent install	not_started				
CLI-002	CLI	LM Studio deploy command	Explicit deploy/install plugin	Sources/ForgeConductorCLI/ForgeConductorMain.swift	Foreign config preserved	not_started				
CLI-003	CLI	Doctor/status/version/agents	Operational inspection commands	Sources/ForgeConductorCLI/ForgeConductorMain.swift	Stable text and JSON outputs	not_started				
CLI-004	CLI	Manager lifecycle commands	start/stop/restart/status	Sources/ForgeConductorCLI/ForgeConductorMain.swift	Correct exit codes	not_started				
