id	tier	severity	title	status	path	line	basis	validation
FC-MEM-001	A — deterministic source behavior	Critical	Telemetry delivery can accumulate unbounded pending MainActor tasks	Source-proven queueing behavior; live growth magnitude requires macOS profiling	Sources/ForgeConductorApp/AppTelemetryBinding.swift	48	The recurring telemetry delivery path creates a fresh unstructured MainActor task that captures the update payload. No pending-task/latest-value gate is visible in the surrounding source. When production outruns MainActor consumption, queued tasks and their captured snapshots accumulate until serviced.	Instrument produced, scheduled, applied, dropped/coalesced, and maximum pending depth; stall MainActor for three seconds while telemetry continues.
FC-PERF-001	A — deterministic source behavior	Critical	Each gauge MTKView owns an independent command queue/pipeline and recurring render cadence	Source-proven resource topology; device-specific CPU/GPU cost requires Instruments	Sources/ForgeConductorApp/Metal/MetalGaugeKit.swift	80	The native gauge view/representable constructs Metal command-queue and pipeline resources in its per-view object graph and configures recurring drawing. Cost therefore scales with the number of simultaneously instantiated gauge views.	Record live MTKView, MTLCommandQueue, pipeline-state, and GPU work for 1, 10, 100, and the full gauge count; repeat after hiding and dismissing the screen.
FC-PERF-001	A — deterministic source behavior	Critical	Each gauge MTKView owns an independent command queue/pipeline and recurring render cadence	Source-proven resource topology; device-specific CPU/GPU cost requires Instruments	Sources/ForgeConductorApp/Metal/MultiSeriesLoadRenderer.swift	40	The native gauge view/representable constructs Metal command-queue and pipeline resources in its per-view object graph and configures recurring drawing. Cost therefore scales with the number of simultaneously instantiated gauge views.	Record live MTKView, MTLCommandQueue, pipeline-state, and GPU work for 1, 10, 100, and the full gauge count; repeat after hiding and dismissing the screen.
FC-PERF-002	A — deterministic source behavior	High	Gauge update path allocates replacement Metal buffers	Source-proven allocation site	Sources/ForgeConductorApp/Metal/MultiSeriesLoadRenderer.swift	141	The SwiftUI/native update path reaches makeBuffer, so model updates allocate a new MTLBuffer rather than writing to stable storage. At telemetry/display cadence this is deterministic allocation churn.	Use Allocations filtered to MTLBuffer creation and compare with a persistent-buffer implementation updated through contents().
FC-PERF-003	A — deterministic source behavior	High	Gauge hierarchy has an animation clock independent of telemetry and MTKView drawing	Source-proven recurring invalidation	Sources/ForgeConductorApp/Views/Rig/RigDashboardView.swift	17	TimelineView(.animation) requests recurring SwiftUI updates. In this gauge hierarchy it compounds telemetry delivery and native-view drawing even when sampled values do not change.	Use SwiftUI Instruments to compare body-update counts with the timeline removed or scoped to the smallest animated primitive.
FC-TELEM-DUPLICATE	B — deterministic duplicate mapping; product invariant required	Medium	Distinct telemetry cases return the same source expression	Source-proven duplicate expression; may be intentional	Sources/ForgeConductorApp/AppModel.swift	73	"Cases .agents, .diagnostics, .feed, .manager, .mcp, .rig, .tools all return `""""`."	Add a mapping contract test proving whether the shared source is intentional; otherwise correct the wrong case.
FC-LIFE-GAP	C — owner-local cleanup signal absent; external cleanup may exist	High	AppTelemetryBinding owns/uses Task without an owner-local cleanup marker	Source-proven absence of matching cleanup syntax in this owner; not yet a proven live leak	Sources/ForgeConductorApp/AppTelemetryBinding.swift	48	class AppTelemetryBinding contains Task ownership/usage but no matching cleanup signal in the same type block.	Instrument owner/resource counts and exercise the intended release boundary ten times; trace any survivor in a memgraph.
FC-LIFE-GAP	C — owner-local cleanup signal absent; external cleanup may exist	High	ForgeConductorMain owns/uses DispatchSource without an owner-local cleanup marker	Source-proven absence of matching cleanup syntax in this owner; not yet a proven live leak	Sources/ForgeConductorCLI/ForgeConductorMain.swift	224	enum ForgeConductorMain contains DispatchSource ownership/usage but no matching cleanup signal in the same type block.	Instrument owner/resource counts and exercise the intended release boundary ten times; trace any survivor in a memgraph.
FC-LIFE-GAP	C — owner-local cleanup signal absent; external cleanup may exist	High	ForgeConductorMain owns/uses Process without an owner-local cleanup marker	Source-proven absence of matching cleanup syntax in this owner; not yet a proven live leak	Sources/ForgeConductorCLI/ForgeConductorMain.swift	401	enum ForgeConductorMain contains Process ownership/usage but no matching cleanup signal in the same type block.	Instrument owner/resource counts and exercise the intended release boundary ten times; trace any survivor in a memgraph.
FC-LIFE-GAP	C — owner-local cleanup signal absent; external cleanup may exist	High	ForgeConductorMain owns/uses Pipe/FileHandle without an owner-local cleanup marker	Source-proven absence of matching cleanup syntax in this owner; not yet a proven live leak	Sources/ForgeConductorCLI/ForgeConductorMain.swift	416	enum ForgeConductorMain contains Pipe/FileHandle ownership/usage but no matching cleanup signal in the same type block.	Instrument owner/resource counts and exercise the intended release boundary ten times; trace any survivor in a memgraph.
FC-MEM-COLLECTION	C — owner-local bound absent; cross-owner reset may exist	High	Long-lived collection `missing` appends without an owner-local bound	Source-proven append and absence of owner-local cap/eviction; cross-file reset must be traced	Sources/ForgeConductorCore/Application/AgentSessionService.swift	198	The long-lived owner mutates `missing` via append/insert, but its type block contains no count cap, truncation, removal, or clear operation.	Log collection count and high-water mark for a 30–60 minute session and across project/session release boundaries.
FC-MEM-COLLECTION	C — owner-local bound absent; cross-owner reset may exist	High	Long-lived collection `snaps` appends without an owner-local bound	Source-proven append and absence of owner-local cap/eviction; cross-file reset must be traced	Sources/ForgeConductorCore/Application/ContextContinuityService.swift	436	The long-lived owner mutates `snaps` via append/insert, but its type block contains no count cap, truncation, removal, or clear operation.	Log collection count and high-water mark for a 30–60 minute session and across project/session release boundaries.
FC-MEM-COLLECTION	C — owner-local bound absent; cross-owner reset may exist	High	Long-lived collection `merged` appends without an owner-local bound	Source-proven append and absence of owner-local cap/eviction; cross-file reset must be traced	Sources/ForgeConductorCore/Application/ContextContinuityService.swift	469	The long-lived owner mutates `merged` via append/insert, but its type block contains no count cap, truncation, removal, or clear operation.	Log collection count and high-water mark for a 30–60 minute session and across project/session release boundaries.
FC-LIFE-GAP	C — owner-local cleanup signal absent; external cleanup may exist	High	ContextContinuityService owns/uses Task without an owner-local cleanup marker	Source-proven absence of matching cleanup syntax in this owner; not yet a proven live leak	Sources/ForgeConductorCore/Application/ContextContinuityService.swift	609	class ContextContinuityService contains Task ownership/usage but no matching cleanup signal in the same type block.	Instrument owner/resource counts and exercise the intended release boundary ten times; trace any survivor in a memgraph.
FC-MEM-COLLECTION	C — owner-local bound absent; cross-owner reset may exist	High	Long-lived collection `suffix` appends without an owner-local bound	Source-proven append and absence of owner-local cap/eviction; cross-file reset must be traced	Sources/ForgeConductorCore/Application/ToolAuthorizationService.swift	218	The long-lived owner mutates `suffix` via append/insert, but its type block contains no count cap, truncation, removal, or clear operation.	Log collection count and high-water mark for a 30–60 minute session and across project/session release boundaries.
FC-LIFE-GAP	C — owner-local cleanup signal absent; external cleanup may exist	High	ToolRouter owns/uses AsyncStream without an owner-local cleanup marker	Source-proven absence of matching cleanup syntax in this owner; not yet a proven live leak	Sources/ForgeConductorCore/Application/ToolRouter.swift	94	class ToolRouter contains AsyncStream ownership/usage but no matching cleanup signal in the same type block.	Instrument owner/resource counts and exercise the intended release boundary ten times; trace any survivor in a memgraph.
FC-LIFE-GAP	C — owner-local cleanup signal absent; external cleanup may exist	High	HandoffPacket owns/uses Task without an owner-local cleanup marker	Source-proven absence of matching cleanup syntax in this owner; not yet a proven live leak	Sources/ForgeConductorCore/Domain/HandoffPacket.swift	92	struct HandoffPacket contains Task ownership/usage but no matching cleanup signal in the same type block.	Instrument owner/resource counts and exercise the intended release boundary ten times; trace any survivor in a memgraph.
FC-LIFE-GAP	C — owner-local cleanup signal absent; external cleanup may exist	High	DashboardPortGuard owns/uses Process without an owner-local cleanup marker	Source-proven absence of matching cleanup syntax in this owner; not yet a proven live leak	Sources/ForgeConductorCore/Infrastructure/DashboardPortGuard.swift	103	enum DashboardPortGuard contains Process ownership/usage but no matching cleanup signal in the same type block.	Instrument owner/resource counts and exercise the intended release boundary ten times; trace any survivor in a memgraph.
FC-LIFE-GAP	C — owner-local cleanup signal absent; external cleanup may exist	High	DashboardPortGuard owns/uses Pipe/FileHandle without an owner-local cleanup marker	Source-proven absence of matching cleanup syntax in this owner; not yet a proven live leak	Sources/ForgeConductorCore/Infrastructure/DashboardPortGuard.swift	107	enum DashboardPortGuard contains Pipe/FileHandle ownership/usage but no matching cleanup signal in the same type block.	Instrument owner/resource counts and exercise the intended release boundary ten times; trace any survivor in a memgraph.
FC-MEM-COLLECTION	C — owner-local bound absent; cross-owner reset may exist	High	Long-lived collection `predicates` appends without an owner-local bound	Source-proven append and absence of owner-local cap/eviction; cross-file reset must be traced	Sources/ForgeConductorCore/Infrastructure/SQLiteStore.swift	279	The long-lived owner mutates `predicates` via append/insert, but its type block contains no count cap, truncation, removal, or clear operation.	Log collection count and high-water mark for a 30–60 minute session and across project/session release boundaries.
FC-MEM-COLLECTION	C — owner-local bound absent; cross-owner reset may exist	High	Long-lived collection `out` appends without an owner-local bound	Source-proven append and absence of owner-local cap/eviction; cross-file reset must be traced	Sources/ForgeConductorCore/Infrastructure/SQLiteStore.swift	317	The long-lived owner mutates `out` via append/insert, but its type block contains no count cap, truncation, removal, or clear operation.	Log collection count and high-water mark for a 30–60 minute session and across project/session release boundaries.
FC-MEM-COLLECTION	C — owner-local bound absent; cross-owner reset may exist	High	Long-lived collection `closed` appends without an owner-local bound	Source-proven append and absence of owner-local cap/eviction; cross-file reset must be traced	Sources/ForgeConductorCore/Infrastructure/SQLiteStore.swift	551	The long-lived owner mutates `closed` via append/insert, but its type block contains no count cap, truncation, removal, or clear operation.	Log collection count and high-water mark for a 30–60 minute session and across project/session release boundaries.
FC-LIFE-GAP	C — owner-local cleanup signal absent; external cleanup may exist	High	MCPServer owns/uses Pipe/FileHandle without an owner-local cleanup marker	Source-proven absence of matching cleanup syntax in this owner; not yet a proven live leak	Sources/ForgeConductorCore/MCP/MCPServer.swift	33	class MCPServer contains Pipe/FileHandle ownership/usage but no matching cleanup signal in the same type block.	Instrument owner/resource counts and exercise the intended release boundary ten times; trace any survivor in a memgraph.
FC-LIFE-GAP	C — owner-local cleanup signal absent; external cleanup may exist	High	MCPStreamReader owns/uses Pipe/FileHandle without an owner-local cleanup marker	Source-proven absence of matching cleanup syntax in this owner; not yet a proven live leak	Sources/ForgeConductorCore/MCP/MCPServer.swift	482	class MCPStreamReader contains Pipe/FileHandle ownership/usage but no matching cleanup signal in the same type block.	Instrument owner/resource counts and exercise the intended release boundary ten times; trace any survivor in a memgraph.
FC-LIFE-GAP	C — owner-local cleanup signal absent; external cleanup may exist	High	ManagerRuntime owns/uses Timer without an owner-local cleanup marker	Source-proven absence of matching cleanup syntax in this owner; not yet a proven live leak	Sources/ForgeConductorCore/Manager/ManagerRuntime.swift	18	class ManagerRuntime contains Timer ownership/usage but no matching cleanup signal in the same type block.	Instrument owner/resource counts and exercise the intended release boundary ten times; trace any survivor in a memgraph.
FC-LIFE-GAP	C — owner-local cleanup signal absent; external cleanup may exist	High	ManagerRuntime owns/uses DispatchSource without an owner-local cleanup marker	Source-proven absence of matching cleanup syntax in this owner; not yet a proven live leak	Sources/ForgeConductorCore/Manager/ManagerRuntime.swift	18	class ManagerRuntime contains DispatchSource ownership/usage but no matching cleanup signal in the same type block.	Instrument owner/resource counts and exercise the intended release boundary ten times; trace any survivor in a memgraph.
FC-LIFE-GAP	C — owner-local cleanup signal absent; external cleanup may exist	High	MCPProcessFixture owns/uses Process without an owner-local cleanup marker	Source-proven absence of matching cleanup syntax in this owner; not yet a proven live leak	Tests/ForgeConductorTests/ContinuityTests.swift	1800	struct MCPProcessFixture contains Process ownership/usage but no matching cleanup signal in the same type block.	Instrument owner/resource counts and exercise the intended release boundary ten times; trace any survivor in a memgraph.
FC-LIFE-GAP	C — owner-local cleanup signal absent; external cleanup may exist	High	MCPProcessFixture owns/uses Pipe/FileHandle without an owner-local cleanup marker	Source-proven absence of matching cleanup syntax in this owner; not yet a proven live leak	Tests/ForgeConductorTests/ContinuityTests.swift	1801	struct MCPProcessFixture contains Pipe/FileHandle ownership/usage but no matching cleanup signal in the same type block.	Instrument owner/resource counts and exercise the intended release boundary ten times; trace any survivor in a memgraph.
FC-LIFE-GAP	C — owner-local cleanup signal absent; external cleanup may exist	High	ManagerTests owns/uses Task without an owner-local cleanup marker	Source-proven absence of matching cleanup syntax in this owner; not yet a proven live leak	Tests/ForgeConductorTests/ManagerTests.swift	265	class ManagerTests contains Task ownership/usage but no matching cleanup signal in the same type block.	Instrument owner/resource counts and exercise the intended release boundary ten times; trace any survivor in a memgraph.
