id	category	feature	macos_evidence	windows_acceptance	status	windows_files	tests	evidence
UI-001	UI	Seven-surface navigation	to be source-verified	behavioral parity plus Windows-native implementation and tests	not_started			
UI-002	UI	Navigation show/hide	to be source-verified	behavioral parity plus Windows-native implementation and tests	not_started			
UI-003	UI	Refresh controls	to be source-verified	behavioral parity plus Windows-native implementation and tests	not_started			
UI-004	UI	Version/home/error status	to be source-verified	behavioral parity plus Windows-native implementation and tests	not_started			
UI-005	UI	Forge Rig	to be source-verified	behavioral parity plus Windows-native implementation and tests	not_started			
UI-006	UI	LM Studio MCP surface	to be source-verified	behavioral parity plus Windows-native implementation and tests	not_started			
UI-007	UI	Agents surface	to be source-verified	behavioral parity plus Windows-native implementation and tests	not_started			
UI-008	UI	Tools surface	to be source-verified	behavioral parity plus Windows-native implementation and tests	not_started			
UI-009	UI	Feed surface	to be source-verified	behavioral parity plus Windows-native implementation and tests	not_started			
UI-010	UI	Diagnostics surface	to be source-verified	behavioral parity plus Windows-native implementation and tests	not_started			
UI-011	UI	Manager settings surface	to be source-verified	behavioral parity plus Windows-native implementation and tests	not_started			
UI-012	UI	Desktop accessibility	to be source-verified	behavioral parity plus Windows-native implementation and tests	not_started			
UI-013	UI	Theme/DPI/high contrast	to be source-verified	behavioral parity plus Windows-native implementation and tests	not_started			
PROC-001	Process	GUI mode	to be source-verified	behavioral parity plus Windows-native implementation and tests	not_started			
PROC-002	Process	MCP stdio mode	to be source-verified	behavioral parity plus Windows-native implementation and tests	not_started			
PROC-003	Process	Manager run mode	to be source-verified	behavioral parity plus Windows-native implementation and tests	not_started			
CLI-001	CLI	Install command	to be source-verified	behavioral parity plus Windows-native implementation and tests	not_started			
CLI-002	CLI	LM Studio deploy command	to be source-verified	behavioral parity plus Windows-native implementation and tests	not_started			
CLI-003	CLI	Doctor/status/version/agents	to be source-verified	behavioral parity plus Windows-native implementation and tests	not_started			
CLI-004	CLI	Manager lifecycle commands	to be source-verified	behavioral parity plus Windows-native implementation and tests	not_started			
MCP-001	MCP	JSON-RPC stdio	to be source-verified	behavioral parity plus Windows-native implementation and tests	not_started			
MCP-002	MCP	Exact 53-tool list	to be source-verified	behavioral parity plus Windows-native implementation and tests	not_started			
MCP-003	MCP	Primary role	to be source-verified	behavioral parity plus Windows-native implementation and tests	not_started			
MCP-004	MCP	Fallback role	to be source-verified	behavioral parity plus Windows-native implementation and tests	not_started			
MCP-005	MCP	Transactional registration	to be source-verified	behavioral parity plus Windows-native implementation and tests	not_started			
MCP-006	MCP	Host revision synchronization	to be source-verified	behavioral parity plus Windows-native implementation and tests	not_started			
MCP-007	MCP	Auto-heal	to be source-verified	behavioral parity plus Windows-native implementation and tests	not_started			
MCP-008	MCP	Independent serve verifier	to be source-verified	behavioral parity plus Windows-native implementation and tests	not_started			
TOOL-001	Tools	Filesystem tools	to be source-verified	behavioral parity plus Windows-native implementation and tests	not_started			
TOOL-002	Tools	Git tools	to be source-verified	behavioral parity plus Windows-native implementation and tests	not_started			
TOOL-003	Tools	Text search	to be source-verified	behavioral parity plus Windows-native implementation and tests	not_started			
TOOL-004	Tools	PDF tools	to be source-verified	behavioral parity plus Windows-native implementation and tests	not_started			
TOOL-005	Tools	Shell tool	to be source-verified	behavioral parity plus Windows-native implementation and tests	not_started			
TOOL-006	Tools	Authorization	to be source-verified	behavioral parity plus Windows-native implementation and tests	not_started			
TOOL-007	Tools	Audit	to be source-verified	behavioral parity plus Windows-native implementation and tests	not_started			
TOOL-008	Tools	Identical-call loop protection	to be source-verified	behavioral parity plus Windows-native implementation and tests	not_started			
AGENT-001	Agents	Embedded catalog	to be source-verified	behavioral parity plus Windows-native implementation and tests	not_started			
AGENT-002	Agents	Recommend agent	to be source-verified	behavioral parity plus Windows-native implementation and tests	not_started			
AGENT-003	Agents	Durable runs	to be source-verified	behavioral parity plus Windows-native implementation and tests	not_started			
MEM-001	Memory	Legacy memory tools	to be source-verified	behavioral parity plus Windows-native implementation and tests	not_started			
MEM-002	Memory	Memory bounds	to be source-verified	behavioral parity plus Windows-native implementation and tests	not_started			
PMEM-001	Project Memory	Multi-project identity	to be source-verified	behavioral parity plus Windows-native implementation and tests	not_started			
PMEM-002	Project Memory	Per-project database isolation	to be source-verified	behavioral parity plus Windows-native implementation and tests	not_started			
PMEM-003	Project Memory	Initialize/remember/batch	to be source-verified	behavioral parity plus Windows-native implementation and tests	not_started			
PMEM-004	Project Memory	Search/get/recent	to be source-verified	behavioral parity plus Windows-native implementation and tests	not_started			
PMEM-005	Project Memory	Update/forget/link	to be source-verified	behavioral parity plus Windows-native implementation and tests	not_started			
PMEM-006	Project Memory	Export/import/status	to be source-verified	behavioral parity plus Windows-native implementation and tests	not_started			
PMEM-007	Project Memory	Redaction	to be source-verified	behavioral parity plus Windows-native implementation and tests	not_started			
PMEM-008	Project Memory	Settings/CLI reset	to be source-verified	behavioral parity plus Windows-native implementation and tests	not_started			
CONT-001	Continuity	Legacy tools	to be source-verified	behavioral parity plus Windows-native implementation and tests	not_started			
CONT-002	Continuity	Lifecycle tools	to be source-verified	behavioral parity plus Windows-native implementation and tests	not_started			
CONT-003	Continuity	Automatic checkpoints	to be source-verified	behavioral parity plus Windows-native implementation and tests	not_started			
CONT-004	Continuity	Automatic rollover	to be source-verified	behavioral parity plus Windows-native implementation and tests	not_started			
CONT-005	Continuity	Native session host	to be source-verified	behavioral parity plus Windows-native implementation and tests	not_started			
CONT-006	Continuity	Exact acknowledgment	to be source-verified	behavioral parity plus Windows-native implementation and tests	not_started			
