finding_id	tier	severity	finding	macos_path	line	windows_prevention	status	test_evidence	profile_evidence
FC-MEM-001	A — deterministic source behavior	Critical	Telemetry delivery can accumulate unbounded pending MainActor tasks	Sources/ForgeConductorApp/AppTelemetryBinding.swift	48	Capacity-one LatestValueMailbox; induced dispatcher-stall test; pending/coalesced counters.	not_started		
FC-PERF-001	A — deterministic source behavior	Critical	Each gauge MTKView owns an independent command queue/pipeline and recurring render cadence	Sources/ForgeConductorApp/Metal/MetalGaugeKit.swift	80	Single shared DirectX graph, persistent buffers, dirty/visibility frame scheduler, graphics live-object tests.	not_started		
FC-PERF-001	A — deterministic source behavior	Critical	Each gauge MTKView owns an independent command queue/pipeline and recurring render cadence	Sources/ForgeConductorApp/Metal/MultiSeriesLoadRenderer.swift	40	Single shared DirectX graph, persistent buffers, dirty/visibility frame scheduler, graphics live-object tests.	not_started		
FC-PERF-002	A — deterministic source behavior	High	Gauge update path allocates replacement Metal buffers	Sources/ForgeConductorApp/Metal/MultiSeriesLoadRenderer.swift	141	Single shared DirectX graph, persistent buffers, dirty/visibility frame scheduler, graphics live-object tests.	not_started		
FC-PERF-003	A — deterministic source behavior	High	Gauge hierarchy has an animation clock independent of telemetry and MTKView drawing	Sources/ForgeConductorApp/Views/Rig/RigDashboardView.swift	17	Single shared DirectX graph, persistent buffers, dirty/visibility frame scheduler, graphics live-object tests.	not_started		
FC-TELEM-DUPLICATE	B — deterministic duplicate mapping; product invariant required	Medium	Distinct telemetry cases return the same source expression	Sources/ForgeConductorApp/AppModel.swift	73	Golden source-to-field mapping and unique-source assertions.	not_started		
FC-LIFE-GAP	C — owner-local cleanup signal absent; external cleanup may exist	High	AppTelemetryBinding owns/uses Task without an owner-local cleanup marker	Sources/ForgeConductorApp/AppTelemetryBinding.swift	48	RAII ownership matrix, explicit stop/cancel, repeated construct/start/stop/destroy resource-count tests.	not_started		
FC-LIFE-GAP	C — owner-local cleanup signal absent; external cleanup may exist	High	ForgeConductorMain owns/uses DispatchSource without an owner-local cleanup marker	Sources/ForgeConductorCLI/ForgeConductorMain.swift	224	RAII ownership matrix, explicit stop/cancel, repeated construct/start/stop/destroy resource-count tests.	not_started		
FC-LIFE-GAP	C — owner-local cleanup signal absent; external cleanup may exist	High	ForgeConductorMain owns/uses Process without an owner-local cleanup marker	Sources/ForgeConductorCLI/ForgeConductorMain.swift	401	RAII ownership matrix, explicit stop/cancel, repeated construct/start/stop/destroy resource-count tests.	not_started		
FC-LIFE-GAP	C — owner-local cleanup signal absent; external cleanup may exist	High	ForgeConductorMain owns/uses Pipe/FileHandle without an owner-local cleanup marker	Sources/ForgeConductorCLI/ForgeConductorMain.swift	416	RAII ownership matrix, explicit stop/cancel, repeated construct/start/stop/destroy resource-count tests.	not_started		
